type,layer,row,col,value
weight,2,2,0,2.45392
weight,2,3,0,0.0175963
weight,2,4,0,1.59407
weight,2,5,0,2.96918
weight,2,6,0,2.29265
weight,2,7,0,3.53306
weight,2,8,0,-1.97035
weight,2,9,0,-2.62616
weight,2,10,0,1.89175
weight,2,11,0,-1.0798
bias,2,0,0,1.69999
